,Latitude,Wind Speed (mph)
faya,18.39,5.8160336
kilifi,-3.63,18.02970416
verkhnevilyuysk,63.45,10.15568944
bluff,-23.58,1.7448100800000002
atuona,-9.8,11.02809448
dingzhou,38.51,8.947744
hermanus,-34.42,1.0066212
ribeira grande,38.52,13.8690032
rikitea,-23.12,8.43324872
carnarvon,-30.97,6.95687096
vuktyl,63.86,9.37276184
port elizabeth,39.31,4.183070320000001
bredasdorp,-34.53,2.236936
puerto ayora,-0.74,14.9874712
beloha,-25.17,7.918753440000001
hasaki,35.73,6.9345016
cape town,-33.93,13.8690032
norman wells,65.28,4.6975656
kahului,20.89,5.8160336
vao,59.1,5.52523192
busselton,-33.64,11.2965268
makakilo city,21.35,12.7505352
thompson,55.74,6.9345016
altus,34.64,31.0934104
airai,-8.93,2.86327808
keuruu,62.26,5.8160336
mar del plata,-46.43,31.876338
pevek,69.7,21.362738800000002
constitucion,23.99,18.342875199999998
mount isa,-20.73,5.8160336
luena,-11.78,2.55010704
new norfolk,-42.78,18.342875199999998
alice springs,-23.7,16.1059392
port lincoln,-34.72,2.52773768
albany,42.65,2.72906192
hambantota,6.12,4.6975656
nogales,-32.73,13.8690032
gaoual,11.75,4.11596224
quatre cocos,-20.21,12.01234632
broome,52.47,6.9345016
zhob,31.34,0.6710808
esperance,-33.86,5.8160336
coihaique,-45.58,6.9345016
samarai,-10.62,4.29491712
port alfred,-33.59,1.0066212
marawi,8.0,5.994988480000001
ulladulla,-35.36,8.0529696
nikolskoye,59.7,4.473872
vila velha,-3.71,9.171437599999999
vaini,15.34,9.9543652
nishihara,35.74,4.6975656
hobart,-42.88,18.342875199999998
saint-philippe,45.36,8.0529696
miastko,54.0,8.99248272
tasiilaq,65.61,9.171437599999999
vilyuysk,63.75,11.520220400000001
batemans bay,-35.71,1.99087304
arraial do cabo,-22.97,13.8690032
hohoe,7.15,3.08697168
warrnambool,-38.38,7.00160968
ushuaia,-54.81,18.342875199999998
mondovi,44.57,13.8690032
gondanglegi,-7.75,2.97512488
mugla,41.62,4.6975656
aldan,58.61,8.81352784
punta arenas,-53.16,26.395844800000003
alzey,49.75,3.355404
twin falls,42.57,8.0529696
cidreira,-30.17,22.50357616
kapaa,22.08,10.289905599999999
cabo san lucas,22.89,3.355404
nanortalik,60.14,3.4001427200000003
akranes,64.32,2.236936
roald,62.58,27.514312800000003
rio gallegos,-51.62,18.342875199999998
sao filipe,14.9,14.517714640000001
chuy,-33.69,2.72906192
qaanaaq,77.48,2.5948457599999997
aasiaat,68.71,5.8160336
dikson,73.51,2.75143128
aloleng,16.13,3.4001427200000003
grindavik,63.84,6.9345016
mercedes,-33.25,17.0007136
lagoa,37.14,5.8160336
praia,-20.25,14.9874712
luan,46.36,6.9345016
aras,42.56,12.7505352
ponta do sol,-20.63,4.42913328
lorengau,-2.02,10.13332008
vardo,39.62,4.6975656
bonnyville,54.27,8.0529696
jalu,29.03,10.53596856
kavieng,-2.57,10.289905599999999
tabuk,17.41,4.29491712
mataura,-46.19,7.00160968
torbay,47.66,29.9749424
mwense,-10.39,1.3421616
severo-yeniseyskiy,60.37,6.68843864
caravelas,-17.73,5.10021408
banda aceh,5.56,4.33965584
nadadores,27.03,17.62705568
angoche,-16.23,4.742304320000001
severo-kurilsk,50.68,13.71241768
udachnyy,66.42,4.473872
grand gaube,-20.01,11.4083736
jamestown,-33.21,9.97673456
castro,-42.48,12.7505352
mahebourg,-20.41,6.8226548
tilichiki,60.47,18.99158664
dunedin,-45.87,14.00321936
hovd,63.83,8.0529696
longyearbyen,78.22,10.289905599999999
salalah,17.01,4.6975656
lebu,8.96,9.171437599999999
katsuura,33.93,4.6975656
victoria,5.28,2.236936
tiksi,71.64,13.44398536
iqaluit,63.75,16.1059392
the valley,18.22,11.4083736
ilulissat,69.22,2.236936
lavrentiya,65.58,38.743731520000004
gornopravdinsk,60.06,7.89638408
calama,-22.46,24.158908800000003
sinnamary,5.38,17.7836412
geraldton,49.72,4.6975656
codrington,-28.95,18.342875199999998
la rioja,-29.41,4.1383316
batagay-alyta,67.8,5.77129488
labuhan,-2.54,1.83428752
clyde river,70.47,10.289905599999999
kannur,11.88,3.355404
pangnirtung,66.15,9.171437599999999
butaritari,3.07,15.52433584
tuktoyaktuk,69.44,11.4083736
khandbari,27.38,5.61470936
gorodishche,53.27,7.40425816
votkinsk,57.05,2.9974942400000004
touros,-5.2,12.7505352
ancud,-41.87,12.7505352
sisimiut,66.94,6.46474504
kostomuksha,64.59,7.47136624
brechin,56.73,12.7505352
chupa,-15.11,16.1059392
nacala,-14.56,2.52773768
mount gambier,-37.83,10.289905599999999
voskresenskoye,56.84,9.0595908
cayenne,4.94,6.9345016
mikun,62.35,8.14244704
husavik,50.56,2.9974942400000004
flin flon,54.77,3.355404
mnogovershinnyy,53.94,11.721544640000001
sur,22.57,12.280778640000001
horodyshche,50.76,4.473872
riverton,43.02,9.171437599999999
manono,-7.3,1.9013956
bethel,60.79,31.0934104
mumford,5.26,3.19881848
hilo,19.71,10.289905599999999
manawar,22.23,5.05547536
isangel,-19.55,13.8690032
oleksandrivka,48.97,5.6818174400000006
alvaraes,-3.22,5.8160336
nyurba,63.29,7.85164536
barrow,-38.31,4.1383316
emerald,-23.53,12.7505352
provideniya,64.42,38.027912
whitianga,-36.83,2.9974942400000004
aykhal,65.95,4.473872
tapiramuta,-11.85,7.02397904
isabela,10.2,6.420006320000001
vredendal,-31.68,2.10271984
taltal,-25.41,3.75805248
pangkalanbuun,-2.68,0.46975656
tabou,4.42,2.39352152
bozdar,27.18,0.49212592
san quintin,17.54,5.301538320000001
chokurdakh,70.62,2.79617
leningradskiy,69.38,7.538474320000001
yellowknife,62.45,4.6975656
faanui,-16.48,16.79938936
roebourne,-20.77,3.60146696
guerrero negro,27.97,5.56997064
axim,4.87,3.66857504
morlaix,48.58,14.9874712
port-cartier,50.03,5.8160336
villa constitucion,-33.23,13.8690032
yar-sale,66.83,13.51109344
mamallapuram,12.63,5.8160336
komsomolskiy,67.55,14.11506616
hithadhoo,-0.6,12.303148
ahipara,-35.17,6.420006320000001
rocha,-34.48,5.748925519999999
xichang,27.88,1.2974228799999998
shu,43.6,2.3487828
hualmay,-11.1,3.98174608
rensvik,63.1,18.342875199999998
san patricio,-26.98,7.717429200000001
manzhouli,49.6,8.366140640000001
lerwick,60.15,18.342875199999998
young,-32.7,1.0066212
road town,18.42,5.8160336
tchibanga,-2.92,1.4540084
mecca,21.43,2.236936
la ronge,55.1,2.236936
xinpu,27.63,1.3421616
la palma,5.36,2.236936
vanavara,60.35,8.5003568
tezu,27.93,2.0803504800000003
lanigan,51.85,7.158195200000001
narsaq,60.91,3.355404
san juan del sur,11.25,4.6975656
mitu,36.2,3.42251208
saskylakh,71.97,8.14244704
tual,-5.67,4.160700960000001
talnakh,69.49,29.080168
chapais,49.78,4.6975656
port hardy,50.7,4.6975656
dingle,11.0,12.303148
qidong,31.81,12.1913012
novska,45.34,2.236936
shimoda,34.7,3.355404
galle,10.08,2.4606296000000003
mezen,65.85,11.25178808
maine-soroa,13.21,7.3818888
portland,43.66,17.202037840000003
linhares,-19.38,1.40926968
cam ranh,11.92,16.1059392
baruun-urt,46.68,8.12007768
sigli,5.38,5.2567996
tuatapere,-46.13,7.00160968
bonthe,7.53,5.480493200000001
arlit,18.74,8.76878912
cherskiy,68.75,22.861485920000003
kodiak,39.95,8.0529696
santa isabel,32.63,5.8160336
san cristobal,14.68,4.5857187999999995
kalmunai,7.42,13.06370624
trat,12.25,7.96349216
ust-uda,54.17,2.95275552
aklavik,68.22,4.6975656
forest grove,45.52,9.171437599999999
huambo,-12.78,2.16982792
svetlaya,46.54,14.07032744
souillac,45.6,13.8690032
luderitz,-26.65,3.355404
nioro,13.79,8.85826656
georgetown,6.8,2.236936
kaitangata,-46.28,8.008230880000001
santa isabel do rio negro,-0.41,2.14745856
araouane,18.9,6.66606928
maralal,1.1,3.7133137599999997
moroni,35.09,3.355404
lander,42.83,4.6975656
stonewall,50.13,11.4083736
oskarshamn,57.26,6.9345016
raudeberg,61.99,9.171437599999999
vanimo,-2.67,10.46886048
kloulklubed,7.04,11.47548168
alvand,36.19,2.236936
rincon,8.46,9.171437599999999
sola,-3.17,6.66606928
qasigiannguit,68.82,2.236936
lubango,-14.92,4.0264848
xochihuehuetlan,17.92,3.5567282400000004
boulder city,35.98,4.6975656
garowe,8.41,6.710808
jizan,16.89,4.160700960000001
birao,10.3,7.18056456
pitimbu,-7.47,10.289905599999999
saint anthony,43.97,14.9874712
kuryk,43.18,26.86560136
san vicente,-0.59,10.289905599999999
darayya,33.46,4.6975656
khatanga,71.98,18.87973984
atar,20.52,3.1540797599999997
hamilton,43.26,2.0803504800000003
reinosa,43.0,4.6975656
chifeng,42.27,8.34377128
eureka,40.8,14.9874712
beyneu,45.32,9.0595908
anderson,34.51,4.6975656
florianopolis,-27.6,11.4083736
east london,-33.02,3.75805248
olavarria,-36.89,7.85164536
stykkisholmur,65.08,3.4672508
richards bay,-28.77,9.842518400000001
bambous virieux,-20.34,10.804400880000001
saint-joseph,43.56,4.6975656
zeya,53.74,4.85415112
mathbaria,22.29,3.5567282400000004
dandong,40.12,19.371865760000002
dali,34.79,1.99087304
bilibino,68.06,4.65282688
miraflores,-16.39,10.289905599999999
eyl,7.98,20.78113544
avarua,-21.21,3.355404
sorland,67.67,10.46886048
belyy yar,53.6,0.24606296
oussouye,12.49,4.6975656
yerbogachen,61.28,13.37687728
shelburne,44.08,1.96850368
shevchenkove,49.7,13.421616
vazhiny,60.96,9.01485208
dicabisagan,17.08,7.20293392
tecuala,22.4,3.9593767200000003
upernavik,72.79,10.13332008
barras,-4.24,6.17394336
liwale,-9.8,2.86327808
kamaishi,39.28,4.94362856
wuan,31.68,17.02308296
yeppoon,-23.13,10.289905599999999
deputatskiy,69.3,4.40676392
laguna,16.17,4.6975656
luanda,-8.83,7.113456480000001
tuscaloosa,33.21,9.171437599999999
praya,-8.71,3.44488144
aksu,52.04,4.473872
najran,17.54,0.8500356800000001
gimbi,8.81,6.420006320000001
upington,-28.46,5.8160336
sept-iles,50.2,5.8160336
podgornoye,57.79,4.6975656
oyem,1.6,2.3487828
karpathos,35.51,6.241051440000001
botou,38.08,7.18056456
galesong,-5.32,2.236936
vostok,46.45,9.03722144
jos,9.92,1.25268416
saint-pierre,48.95,12.7505352
lokoja,7.8,3.33303464
pingxiang,27.63,2.61721512
hirna,9.22,5.3686464
jinka,5.79,2.32641344
tavda,58.04,5.88314168
myitkyina,25.38,3.62383632
carlagan,14.97,16.24015536
pisco,-13.71,21.921972800000002
ponnani,10.77,5.8160336
maple creek,49.91,0.91714376
kununurra,-15.77,5.8160336
zhigansk,66.77,21.049567760000002
bra,44.7,3.355404
otane,-39.89,8.99248272
jambi,-1.6,1.31979224
loreto,-23.27,6.33052888
maniitsoq,65.42,2.81853936
sheltozero,61.37,18.85737048
ipira,-27.41,3.1317104
arman,59.7,11.520220400000001
kudahuvadhoo,2.67,11.00572512
talant,47.34,4.6975656
vila,45.18,3.355404
kocevje,45.64,3.355404
kenai,60.55,10.289905599999999
zyryanovsk,49.74,1.7448100800000002
alamosa,37.47,19.461343199999998
houma,35.63,5.56997064
beringovskiy,63.05,33.151391520000004
panjab,34.38,1.81191816
alcaniz,41.05,1.99087304
camacha,33.08,10.289905599999999
yukhnov,54.74,5.860772320000001
cairns,-16.92,13.8690032
sebezh,56.29,7.85164536
fairbanks,64.84,1.96850368
illkirch-graffenstaden,48.53,4.6975656
virginia beach,36.85,6.9345016
kruisfontein,-34.0,4.60808816
saint george,39.45,1.16320672
nouadhibou,20.93,13.8690032
madaoua,14.07,8.41087936
vengerovo,55.68,4.54098008
bam,29.11,4.67519624
diamantina,-18.24,4.60808816
goffstown,43.02,6.9345016
cremlingen,52.25,6.9345016
soc trang,9.6,3.355404
flinders,-34.58,8.0529696
kutum,14.2,4.160700960000001
akureyri,65.68,1.118468
mareeba,-16.99,13.8690032
chernyshevskiy,63.01,13.734787039999999
makat,47.65,9.9543652
ilhabela,-23.78,19.9087304
sawtell,-30.38,17.2244072
harrismith,-28.27,1.7448100800000002
sitka,37.17,14.00321936
kysyl-syr,63.9,4.31728648
sakaiminato,35.55,1.118468
mineiros,-17.57,5.21206088
thunder bay,48.41,4.6975656
kamina,-8.74,0.38027912
umm lajj,25.02,7.87401472
saldanha,41.42,12.45973352
agadez,16.97,4.6975656
mehamn,71.03,18.342875199999998
puerto leguizamo,-0.19,2.77380064
panaba,21.28,7.96349216
atambua,-9.11,3.08697168
wanlaweyn,2.62,3.53435888
kerrville,30.05,8.0529696
naryan-mar,67.67,12.057085039999999
haines junction,60.75,1.65533264
kajaani,64.22,8.0529696
dillingen,49.85,4.6975656
tessalit,20.2,7.89638408
elko,40.83,10.289905599999999
pushkino,56.01,8.947744
padang,-0.92,4.49624136
kayerkan,69.35,29.080168
te anau,-45.41,1.96850368
qaqortoq,60.72,3.355404
tadine,-21.55,13.8690032
de aar,-30.65,5.45812384
kirakira,-10.46,8.38851
jaciara,-15.95,4.07122352
ha giang,22.83,1.61059392
diveyevo,55.04,8.2766632
ilinskiy,55.62,6.710808
manado,1.49,2.236936
khani,41.96,31.0934104
sao joao da barra,-21.64,11.4083736
bani,16.02,2.9080168
bathsheba,13.22,21.921972800000002
zafra,38.43,8.008230880000001
waingapu,-9.65,3.62383632
castelo branco,39.82,5.994988480000001
wahiawa,21.5,12.7505352
moron,18.56,13.37687728
dabakala,8.36,2.72906192
mae sai,20.44,2.70669256
okhotsk,59.36,19.81925296
namibe,-15.19,2.0803504800000003
porto walter,-8.27,3.17644912
joshimath,30.57,1.96850368
kuching,1.56,1.99087304
oistins,13.07,21.921972800000002
cockburn town,21.46,13.667678960000002
tateyama,36.66,2.236936
pedro juan caballero,-22.55,2.236936
filingue,14.35,9.66356352
nizwa,22.93,5.41338512
grove city,39.88,3.355404
innisfail,-17.52,1.99087304
strangnas,59.38,3.355404
port blair,11.67,18.18628968
ornskoldsvik,63.29,6.9345016
pando,-34.72,8.0529696
opuwo,-18.06,2.39352152
buzmeyin,38.05,4.6975656
palani,10.45,3.78042184
langub,7.11,2.236936
jijiga,9.35,7.80690664
charagua,-19.79,8.99248272
inhambane,-23.87,10.625446
mackay,53.65,8.0529696
kurilsk,45.23,18.85737048
pochutla,15.74,11.4083736
cerrito,6.84,6.9345016
thinadhoo,0.53,12.638688400000001
tura,64.27,6.17394336
victor harbor,-35.55,11.4083736
amapa,15.09,6.9345016
dedougou,12.47,4.6975656
darhan,49.49,4.5633494400000005
wangqing,43.31,12.92949008
evensk,61.92,14.33875976
nchelenge,-9.35,6.44237568
solnechnyy,50.72,3.66857504
djambala,-2.55,3.37777336
oil city,41.43,4.6975656
nkoyaphiri,-24.63,6.9345016
yulara,-25.24,13.8690032
viedma,-40.81,8.70168104
valente,-11.41,10.7372928
nemuro,43.32,16.48621832
kupang,-10.16,2.236936
jiangyou,31.78,1.09609864
mocajuba,-2.58,5.480493200000001
meulaboh,4.14,4.5857187999999995
tautira,-17.73,13.8690032
mollendo,-17.03,9.52934736
iberia,-11.41,2.39352152
dryden,49.79,6.9345016
silver city,32.77,21.00482904
yichun,47.72,7.31478072
vaitape,-16.52,16.79938936
capitan bado,-23.27,14.517714640000001
hay river,60.82,10.289905599999999
carauari,-4.88,2.52773768
ballina,54.11,1.99087304
gazojak,41.19,7.918753440000001
acapulco,16.86,10.289905599999999
champerico,16.38,6.9345016
sapa,14.32,1.118468
lata,30.78,4.38439456
kenitra,34.26,5.8160336
effium,6.63,8.14244704
porto novo,-23.68,11.4083736
majenang,-7.3,1.05135992
boa vista,2.82,6.9345016
glendive,47.11,4.6975656
aksarka,66.56,14.4282372
palmer,-34.85,11.4083736
lompoc,34.64,12.7505352
ambilobe,-13.19,4.51861072
bambanglipuro,-7.95,3.86989928
qandala,11.47,5.90551104
laguna de duero,41.58,24.158908800000003
monrovia,6.33,6.710808
oktyabrskoye,56.73,2.236936
balikpapan,-1.24,1.61059392
limaong,7.36,2.236936
bud,62.91,19.461343199999998
pacific grove,36.62,8.0529696
dzilam gonzalez,21.28,12.88475136
kosugi,36.71,2.236936
tias,28.96,12.7505352
vitkov,49.77,13.8690032
araceli,10.55,19.97583848
pangody,65.85,16.8888668
bratsk,56.15,6.710808
batie,45.06,9.171437599999999
karratha,-20.74,2.61721512
lethem,3.38,6.73317736
tandil,-37.33,4.0041154400000005
russell,38.9,16.1059392
alta floresta,-9.87,4.29491712
ewa beach,21.32,5.8160336
nioki,-2.72,2.30404408
tubuala,9.52,9.171437599999999
daru,-9.07,6.151574
lodja,-3.52,3.89226864
